课程名称,课程类别,学分,开课学期
云应用开发实践（新生项目课）,新生项目式课程,1,2
智能停车场车牌识别计费系统（新生项目课程）,新生项目式课程,1,2
Web软件工程项目实践(新生项目课程),新生项目式课程,1,2
区块链原理与开发(新生项目课程),新生项目式课程,1,2
物联网设计与安全(新生项目课程),新生项目式课程,1,2
嵌入式系统设计初探（新生项目课程）,新生项目式课程,1,2
计算机视觉识别系统开发实践,新生项目式课程,1,2
基于项目的游戏策划(新生项目课程),新生项目式课程,1,2
小波与引力波基础及前沿进展,学科前沿课,1,7
大媒体前沿技术:机遇与挑战,学科前沿课,1,7
视觉大数据分析与计算,学科前沿课,1,7
网络科学导论,学科前沿课,1,7
网络空间的安全问题,学科前沿课,1,7
新一代移动互联网前沿,学科前沿课,1,7
时空数据管理前沿技术：机遇与挑战,学科前沿课,1,7
C++语言程序设计（华为共建课程）,面向对象程序设计课程,3,3
JAVA 语言程序设计,面向对象程序设计课程,3,3
Java 与大数据实战（挑战性课程）,面向对象程序设计课程,3,3
计算机导论,专业方向选修课,1.0,1
固件安全,专业方向选修课,1.0,2
计算机组成与系统结构I-电路与数字逻辑,专业方向选修课,3.5,2
计算机组成与系统结构II-组成与结构,专业方向选修课,4.0,3
计算机图形学,专业方向选修课,3.0,3
数据结构与算法竞赛实验,专业方向选修课,1.0,4
计算机网络综合实验,专业方向选修课,1.0,4
UNIX操作系统,专业方向选修课,3.0,4
数字图像处理,专业方向选修课,3.0,4
系统软件原理与设计II-编译系统,专业方向选修课,2.5,5
算法与计算理论,专业方向选修课,2.0,5
组合数学,专业方向选修课,2.0,5
计算数学基础,专业方向选修课,3.0,5
汇编语言程序设计,专业方向选修课,2.0,5
计算机网络编程,专业方向选修课,3.0,5
信息检索,专业方向选修课,2.0,5
游戏设计,专业方向选修课,3.0,5
无线安全,专业方向选修课,2.0,5
计算机网络安全实验,专业方向选修课,1.0,5
计算机系统安全实验,专业方向选修课,1.0,6
数据可视化,专业方向选修课,3.0,6
嵌入式系统及应用,专业方向选修课,3.0,6
自底向上的计算机病毒原理与实践,专业方向选修课,1.0,6
软件工程安全实验（华为共建实践课程）,专业方向选修课,1.0,6
大数据安全,专业方向选修课,2.0,6
基于操作系统编程技术,专业方向选修课,3.0,6
分布式并行计算,专业方向选修课,3.0,6
Linux系统编程,专业方向选修课,3.0,6
自然语言处理,专业方向选修课,3.0,7
摄影原理与技术,专业方向选修课,2.0,7
